AQW00061705        3614C
USC00453826         107R
USC00453883         910S
USC00454154         969S
USC00454169         330S
USC00454338         892S
USC00454486         281S
USC00454572         819S
USC00454679         855S
USC00454748          23S
USC00454764         307S
USC00454769         404S
USC00455133         598S
USC00455224         247S
USC00455231         841R
USC00455326         892R
USC00455525         287S
USC00455659         652R
USC00455678         131R
USC00455688         793R
USC00455704         223S
USC00455840         388S
USC00455844         608R
USC00455946         880S
USC00456011         367R
USC00456039         844S
USC00456096          36S
USC00456215         642R
USC00456262         463S
USC00456295         262S
USC00456534         542C
USC00456610         672S
USC00456624          27R
USC00456678         112S
USC00456747        1000R
USC00456768         975R
USC00456789         592S
USC00456803         421R
USC00456846         412R
USC00456880         796S
USC00456898          42R
USC00456914         151C
USC00456974         547S
USC00457015         880S
USC00457059         728C
USC00457180         642S
USC00457185         398S
USC00457267         740S
USC00457319         227R
USC00457342         589R
USC00457507         158S
USC00457522         918R
USC00457544          51S
USC00457584         370R
USC00457657         254Q
USC00457696         529S
USC00457727        1050R
USC00457773         275S
USC00457941         541R
USC00458034         333S
USC00458059         657S
USC00458207        1043S
USC00458278         261R
USC00458520         813R
USC00458715         254S
USC00458773         438S
USC00458959         963S
USC00459012         576R
USC00459058         725R
USC00459074         870S
USC00459079         871R
USC00459200         918S
USC00459238         653S
USC00459376         787S
USC00459455         991Q
USC00459463         862R
USC00460102         948Q
USC00460202         918R
USC00460355         546R
USC00460509         284R
USC00460527         337S
USC00460580         320S
USC00460633         773R
USC00460925         640R
USC00460939         944R
USC00461215         636S
USC00461220         885S
USC00461290         829Q
USC00461324         853S
USC00461330         996R
USC00461393         300R
USC00461397         210R
USC00461579        1055R
USC00461677         917S
USC00461723        1138R
USC00461900         286Q
USC00462054         989R
USC00462211         120Q
USC00462462         967Q
USC00462522         791R
USC00462697        1069Q
USC00462709         897R
USC00462920         940S
USC00463072         337R
USC00463215         896R
USC00463251         463Q
USC00463361        1017S
USC00463464         283R
USC00463544        1101S
USC00463648        1045Q
USC00463798         664R
USC00463846        1275S
USC00463940         986Q
USC00464200        1028S
USC00464397        1189R
USC00464763         956R
USC00464840        1067R
USC00464956         604R
USC00464971         252Q
USC00465224         705S
USC00465353        1275R
USC00465365        1134S
USC00465453         896Q
USC00465563        1197S
USC00465626         858S
USC00465672         712R
USC00465706         990Q
USC00465739         942R
USC00465875         220R
USC00465963         890S
USC00466163        1064S
USC00466212         766S
USC00466248         971R
USC00466284         664Q
USC00466325         990R
USC00466442         807R
USC00466591         644S
USC00466600         855R
USC00466867         687S
USC00466912        1129Q
USC00466952        1085R
USC00466982         908Q
USC00466989         243R
USC00467018         741S
USC00467029         891S
USC00467372         771Q
USC00467513         310R
USC00467552        1139S
USC00467649         434R
USC00467730        1107S
USC00467785         737S
USC00467918        1024R
USC00468051         504R
USC00468308           8S
USC00468351         894R
USC00468384         930S
USC00468522         953Q
USC00468589         933Q
USC00468614         545R
USC00468662         980R
USC00468777         274S
USC00468986         649R
USC00469011         896R
USC00469049        1132Q
USC00469281         996S
USC00469333         798R
USC00469336         821R
USC00469436         970S
USC00469458        1022R
USC00469482         936R
USC00469522         752S
USC00469610        1304R
USC00469683        1082S
USC00470045         735R
USC00470124         623S
USC00470175         515R
USC00470239         310R
USC00470265         525S
USC00470273         689S
USC00470287         758Q
USC00470308         579S
USC00470347         345Q
USC00470349         441R
USC00470382         513Q
USC00470516         656S
USC00470603         286R
USC00470645         584S
USC00470696         708S
USC00470742         561Q
USC00470773         472R
USC00470882         523S
USC00470904         561S
USC00470991         384R
USC00471044         496R
USC00471062         546Q
USC00471064         477R
USC00471078         698S
USC00471131         360R
USC00471205         579R
USC00471249         337R
USC00471280         473R
USC00471416         593S
USC00471568         548S
USC00471605         162Q
USC00471667         631Q
USC00471676         510S
USC00471840         548Q
USC00471847         412S
USC00471897         557R
USC00471923         441S
USC00471970         715R
USC00471978         436S
USC00472001         566R
USC00472055         344Q
USC00472165         739R
USC00472173         566R
USC00472240         398R
USC00472279         613Q
USC00472314         415R
USC00472556         589R
USC00472626         331Q
USC00472826         278R
USC00472839         444S
USC00472851         194Q
USC00472869         680S
USC00472889         452R
USC00472973         603Q
USC00473022         675R
USC00473038         719S
USC00473058         521S
USC00473116         365Q
USC00473174         305R
USC00473186         477S
USC00473268         481Q
USC00473271         519Q
USC00473332         240S
USC00473391         609Q
USC00473405         517S
USC00473453         515S
USC00473471         518R
USC00473511         614R
USC00473654         661S
USC00473661         470Q
USC00473698         431R
USC00473702         410Q
USC00473756         565S
USC00473800         322R
USC00473820         584Q
USC00474080         350S
USC00474108         705Q
USC00474174         404S
USC00474195         221R
USC00474373         389Q
USC00474391         441Q
USC00474457         833R
USC00474482         672S
USC00474523         380R
USC00474530         383Q
USC00474546         488S
USC00474582         124S
USC00474790         681Q
USC00474829         366R
USC00474894         508S
USC00474937         689S
USC00474953         333S
USC00475017         268S
USC00475091         398R
USC00475096         529Q
USC00475120         536S
USC00475164         513S
USC00475178         580S
USC00475189         658Q
USC00475255         379S
USC00475286         336S
USC00475335         542C
USC00475364         443S
USC00475474         699S
USC00475516         247S
USC00475525         362R
USC00475563         741S
USC00475573         785Q
USC00475581         578S
USC00475786         735S
USC00475808         434S
USC00475863         377R
USC00475932         526S
USC00476122         281R
USC00476200         614S
USC00476208         423S
USC00476330         556S
USC00476357         386S
USC00476380         604Q
USC00476398         283R
USC00476413         331R
USC00476510         380Q
USC00476646         631S
USC00476678         493S
USC00476718         660S
USC00476764         364S
USC00476772         274R
USC00476827         729S
USC00476838         663R
USC00476859         369S
USC00476922         349S
USC00476939         300R
USC00477052         637R
USC00477092         310S
USC00477113         401S
USC00477132         465S
USC00477142         222Q
USC00477158         667S
USC00477174         395S
USC00477209         455Q
USC00477226         607C
USC00477319         386R
USC00477349         422S
USC00477464         665S
USC00477480         195S
USC00477576         636Q
USC00477708         542C
USC00477725         496S
USC00477892         559S
USC00477964         397Q
USC00477997         700R
USC00478027         455S
USC00478110         499S
USC00478171         439S
USC00478190         310Q
USC00478229         699S
USC00478267         344S
USC00478316         623R
USC00478349         286S
USC00478376         435R
USC00478540         561Q
USC00478589         615S
USC00478672         158S
USC00478723         573R
USC00478827         349S
USC00478905         134S
USC00478910         659Q
USC00478919         594S
USC00478937         600R
USC00478951         569S
USC00479046         782R
USC00479050         573R
USC00479144         300R
USC00479190         647S
USC00479236         288R
USC00479304         360R
USC00479319         657S
USC00479335         679S
USC00480027         472R
USC00480080         823S
USC00480140         297R
USC00480270         829R
USC00480484         728S
USC00480540         942R
USC00480552         627S
USC00480603         375S
USC00480680         682Q
USC00480740         698S
USC00480761         690R
USC00480778         763S
USC00480865         342R
USC00480915         600R
USC00480951         420R
USC00481000         915R
USC00481131         836Q
USC00481165         636S
USC00481175         300R
USC00481220          44R
USC00481284         498R
USC00481547         830R
USC00481569         849Q
USC00481610         148R
USC00481676         592Q
USC00481730         760R
USC00481736         501R
USC00481775         723S
USC00481816         752S
USC00481840         645S
USC00481850         685S
USC00481855         602S
USC00481905         789S
USC00482054         255R
USC00482135         363Q
USC00482242         226R
USC00482375          26S
USC00482399         695Q
USC00482410         797R
USC00482415         882R
USC00482466         760S
USC00482580         806S
USC00482595         625R
USC00482680         585R
USC00482685         794R
USC00482715         367R
USC00482725         920S
USC00482881         852R
USC00482995         476S
USC00483031         745S
USC00483045         467R
USC00483100         438R
USC00483396         572S
USC00483582         562R
USC00483855         776S
USC00483936         830Q
USC00483950         866R
USC00484065         871R
USC00484080         915R
USC00484411         716S
USC00484442         514R
USC00484760         755R
USC00484910         534S
USC00484925         691R
USC00485055         852S
USC00485088         760R
USC00485105         334S
USC00485252         539R
USC00485260        1040S
USC00485345          58S
USC00485374         888Q
USC00485392         818Q
USC00485435         451R
USC00485506         851S
USC00485612         903Q
USC00485770         746S
USC00485830         663R
USC00485833         884Q
USC00486120         565R
USC00486195         909R
USC00486428         443R
USC00486440         333S
USC00486555         446R
USC00486595         769R
USC00486660         879S
USC00486845         158S
USC00486852         920R
USC00487031         382Q
USC00487105         681Q
USC00487115         752R
USC00487200         737S
USC00487240         826R
USC00487260         289S
USC00487376         807R
USC00487388         749S
USC00487528         555Q
USC00487548         780R
USC00487555         945S
USC00487760         883S
USC00487810         709R
USC00487836         624Q
USC00487847         797Q
USC00487885         779Q
USC00487955         638R
USC00487990         577R
USC00488070         641R
USC00488124         881R
USC00488160         826S
USC00488192         272S
USC00488209         992Q
USC00488315         264R
USC00488385         222R
USC00488626         431Q
USC00488705         711R
USC00488758         329S
USC00488808         585R
USC00488852         888S
USC00488858         751S
USC00488875        1118R
USC00488884         794Q
USC00488888         681R
USC00488995        1005R
USC00488997         775R
USC00489025         417S
USC00489205         799S
USC00489208         472Q
USC00489459         658R
USC00489467         522R
USC00489580         816R
USC00489604        1162R
USC00489615         994S
USC00489770         935S
USC00489805         720R
USC00489902         287Q
USC00489905         386R
USC00489925        1080S
USC00500243           7S
USC00500247          19Q
USC00500275           3R
USC00500281           0Q
USC00500284           0Q
USC00500302           9R
USC00500363           1R
USC00500464          12S
USC00500490         114Q
USC00500657          27R
USC00500707          16R
USC00500788          39S
USC00501175          17Q
USC00501180           0Q
USC00501220          18Q
USC00501240           0S
USC00501243          15R
USC00501244          18Q
USC00501466         121R
USC00501492          31R
USC00501497           0Q
USC00501684          82R
USC00501926          26R
USC00501987          97Q
USC00502019          95R
USC00502107         107S
USC00502112          74S
USC00502126           0P
USC00502144          13R
USC00502149          43S
USC00502173           0R
USC00502227           4R
USC00502339          82R
USC00502350          98R
USC00502352          82R
USC00502457           0R
USC00502568         123R
USC00502587       -7777S
USC00502642          14Q
USC00502645          23Q
USC00502656          29R
USC00502707          96S
USC00502711           2Q
USC00502737          47Q
USC00502785           1R
USC00502868          15Q
USC00502870          88Q
USC00502871         164R
USC00502965          94R
USC00502970         138R
USC00503009          30R
USC00503160          40Q
USC00503163           5R
USC00503181          61Q
USC00503196           8Q
USC00503198           0R
USC00503212          67R
USC00503275         104R
USC00503294           2R
USC00503299           0S
USC00503304          57R
USC00503502          25R
USC00503504          73R
USC00503573          33R
USC00503585          54R
USC00503672       -7777S
USC00503682       -7777R
USC00503695          10R
USC00503720           4R
USC00503933           5R
USC00504094          13R
USC00504425           0R
USC00504550           4R
USC00504567          48Q
USC00504621          34R
USC00504812           3S
USC00504971         102Q
USC00504991           0Q
USC00505051          25R
USC00505136           2S
USC00505397          19R
USC00505464           3R
USC00505516         209Q
USC00505519           1S
USC00505604           2S
USC00505644         120Q
USC00505733          12S
USC00505757          60R
USC00505778          30R
USC00505880          67R
USC00505883           4R
USC00505894          36R
USC00506147          16S
USC00506581         110S
USC00506777          46R
USC00506853           1R
USC00506870          16R
USC00507097          16R
USC00507141           9R
USC00507352           7R
USC00507444          18R
USC00507502           1Q
USC00507513          44R
USC00507557           4R
USC00507570          22S
USC00507738           3R
USC00507780           1R
USC00507783          12R
USC00508140          53R
USC00508183           0R
USC00508375           7R
USC00508377           7R
USC00508409          15Q
USC00508470          46R
USC00508547          32R
USC00508594          11R
USC00508615           2Q
USC00508625          26R
USC00508884          25Q
USC00508915          17S
USC00508945           2R
USC00509313         114S
USC00509385          46R
USC00509460           1R
USC00509489         196R
USC00509641         123S
USC00509685           0Q
USC00509747          12Q
USC00509759          14R
USC00509790          40S
USC00509829           1R
USC00509861          24R
USC00509869          51R
USC00509891          73Q
USC00509919           8S
USC00510305        2703R
USC00510746         444Q
USC00511004           0C
USC00511125        2110R
USC00511303           8S
USC00511339         577Q
USC00511918        3123S
USC00512558         254P
USC00512679         481R
USC00512751         541Q
USC00513099           5S
USC00513113        2073R
USC00513117        2931R
USC00513146        1175Q
USC00513317        2513R
USC00513911        3300R
USC00514459         922R
USC00514500        2104R
USC00514561        2130Q
USC00515000          29S
USC00515004           8S
USC00515011           2R
USC00515177        3387R
USC00515275        1775R
USC00515710        2854Q
USC00515758        2887R
USC00515842        3253S
USC00515864        3040Q
USC00516128        1369S
USC00516198           0R
USC00516588        1621R
USC00517000        2195R
USC00517131        1668R
USC00517150        1687Q
USC00517166         678S
USC00517312        1445Q
USC00518055        2504Q
USC00518155        1997Q
USC00518165        2385R
USC00518407        2688R
USC00518422        2239S
USC00518500        1639R
USC00518549        2273Q
USC00518600        2731S
USC00518652         684R
USC00518830        3024R
USC00518838        1658R
USC00519281        1958Q
USC00519397        3255S
USC00519523        2541S
USC00519603        2917S
USC00519629        3038R
USW00003013        1304R
USW00003016        1048R
USW00003017        1023R
USW00003024        1439R
USW00003026        1001R
USW00003027         738R
USW00003028        1180R
USW00003029         906Q
USW00003030        1382R
USW00003031        1812R
USW00003032        1954R
USW00003047        1873Q
USW00003048        1458Q
USW00003054        1478Q
USW00003055        1295Q
USW00003060         151Q
USW00003061         361Q
USW00003062          34Q
USW00003063        1234Q
USW00003067        1156Q
USW00003072        1736Q
USW00003074        1690Q
USW00003102        1608R
USW00003103         501R
USW00003104        2475S
USW00003122         431R
USW00003124        1730Q
USW00003125        2342S
USW00003131         648R
USW00003144        2362R
USW00003145        2369R
USW00003154         877R
USW00003159        1613R
USW00003160        1615R
USW00003162        1368R
USW00003164        1587S
USW00003166        1139R
USW00003167         462R
USW00003170         953R
USW00003171        1670R
USW00003177         206R
USW00003178         579R
USW00003179        1634R
USW00003184        2085R
USW00003192        2127Q
USW00003195         761R
USW00003196        1963R
USW00003728        1442Q
USW00003733          73Q
USW00003739         906Q
USW00003749         656Q
USW00003757        1049Q
USW00003758        1160Q
USW00003759         796Q
USW00003761         742Q
USW00003802         807R
USW00003804         961R
USW00003809        1375R
USW00003810        1163S
USW00003811        1433S
USW00003812         901C
USW00003813        1705S
USW00003816        1299S
USW00003818        1935R
USW00003820        1751C
USW00003822        1776C
USW00003841        1309S
USW00003847         882S
USW00003849        1147S
USW00003853        1857R
USW00003855        1583S
USW00003856        1513C
USW00003859         678S
USW00003860        1075S
USW00003866        1700S
USW00003868         975R
USW00003870        1374S
USW00003872         506S
USW00003878        1694Q
USW00003881        1588S
USW00003882        1811R
USW00003887         990R
USW00003888        1424R
USW00003889        1006C
USW00003893         958R
USW00003894        1300Q
USW00003901        1713R
USW00003902        1878Q
USW00003904        1953S
USW00003919        1216S
USW00003927        1735S
USW00003928        1224C
USW00003931        1772Q
USW00003932        1399R
USW00003933        1749Q
USW00003935        1246S
USW00003936        1163R
USW00003937        1859S
USW00003940        1694C
USW00003945        1063S
USW00003947        1073C
USW00003949        1744Q
USW00003950        1639R
USW00003951        1695S
USW00003952        1444S
USW00003953        1377R
USW00003954        1360R
USW00003957        1338R
USW00003959        1373S
USW00003960        1184R
USW00003962        1513R
USW00003963        1174R
USW00003965        1415R
USW00003966        1173R
USW00003967        1019R
USW00003969        1685S
USW00003971        1666R
USW00003974        1196R
USW00003975        1292R
USW00003981        1659R
USW00003991        1684R
USW00003994        1147R
USW00003996        1733R
USW00003997        1166R
USW00003998        1236R
USW00003999        1767R
USW00004109         928R
USW00004110         820R
USW00004111         400R
USW00004112         280R
USW00004113         953R
USW00004114         741R
USW00004125         987Q
USW00004126         591Q
USW00004127         828Q
USW00004128         673Q
USW00004130         153Q
USW00004131         337Q
USW00004134        1140Q
USW00004136         561Q
USW00004137         394Q
USW00004138         800Q
USW00004139         316Q
USW00004140         304Q
USW00004141           7Q
USW00004201         497R
USW00004222        1364Q
USW00004223         325Q
USW00004236         459Q
USW00004237         145Q
USW00004724         504Q
USW00004725         332S
USW00004726         311R
USW00004751         292S
USW00004780         687R
USW00004781         523S
USW00004787         379R
USW00004789         747R
USW00004803         357R
USW00004804         849R
USW00004808         747R
USW00004826         571R
USW00004836         152R
USW00004838         704R
USW00004839         649R
USW00004840         593R
USW00004841         426R
USW00004842         680R
USW00004843         418R
USW00004845         580R
USW00004846         703R
USW00004847         694R
USW00004848         766R
USW00004849         658R
USW00004850         804R
USW00004851         760R
USW00004852         796R
USW00004853         573R
USW00004854         289R
USW00004855         753R
USW00004857         530R
USW00004858         799R
USW00004990         662Q
USW00004994         297Q
USW00012812        2715R
USW00012815        2451C
USW00012816        2067S
USW00012818        2403R
USW00012819        2297R
USW00012832        1776S
USW00012833        2144R
USW00012834        2072C
USW00012835        2773R
USW00012836        2507R
USW00012838        2312S
USW00012839        2812S
USW00012841        2373R
USW00012842        2313S
USW00012843        2337R
USW00012844        2547S
USW00012849        2747R
USW00012850        2650S
USW00012854        2394R
USW00012859        2237R
USW00012871        2349R
USW00012873        2377R
USW00012876        2456R
USW00012882        2771R
USW00012883        2666R
USW00012884        1720R
USW00012885        2620R
USW00012888        2778R
USW00012894        2682R
USW00012895        2395R
USW00012896        2676R
USW00012897        2733Q
USW00012904        2571R
USW00012912        2111S
USW00012916        1892S
USW00012917        1857R
USW00012918        1930S
USW00012919        2533S
USW00012921        2037S
USW00012923        1724R
USW00012924        2277S
USW00012925        2359R
USW00012926        2012S
USW00012928        2443S
USW00012930        1997S
USW00012932        2443R
USW00012935        1871S
USW00012944        1649R
USW00012947        2371R
USW00012957        2360R
USW00012958        1812S
USW00012959        2685R
USW00012960        2011S
USW00012962        2046S
USW00012968        1651Q
USW00012970        2060R
USW00012971        2046R
USW00012972        2054R
USW00012975        1864R
USW00012976        1892R
USW00012977        1955Q
USW00012987        2582Q
USW00013301         937Q
USW00013701         899R
USW00013702        1064R
USW00013713        1452R
USW00013714        1456R
USW00013721        1024R
USW00013722        1366C
USW00013723        1186C
USW00013724         486S
USW00013728        1176R
USW00013729         618S
USW00013733        1059S
USW00013734         905S
USW00013735         864C
USW00013736         814S
USW00013737        1057S
USW00013739         991C
USW00013740        1261C
USW00013741        1093S
USW00013743        1098S
USW00013744        1589C
USW00013745        1137R
USW00013748        1510C
USW00013750        1135R
USW00013752         882Q
USW00013754        1373S
USW00013762        1267Q
USW00013764         978R
USW00013766        1156R
USW00013769        1127S
USW00013773        1076R
USW00013776        1535R
USW00013777        1305R
USW00013779         952R
USW00013781         923C
USW00013782        1277S
USW00013786        1225R
USW00013802        1344S
USW00013809        1201R
USW00013810        1155R
USW00013833        1851R
USW00013837        1588R
USW00013838        1695R
USW00013839        1805Q
USW00013841         835R
USW00013861        1882R
USW00013865        1688S
USW00013866        1026S
USW00013867        1105S
USW00013869        1895R
USW00013870        1863R
USW00013871        1497C
USW00013872         958C
USW00013873        1498S
USW00013874        1354S
USW00013876        1534S
USW00013877        1084C
USW00013878        1585S
USW00013880        1662S
USW00013881        1296S
USW00013882        1402S
USW00013883        1642C
USW00013884        1857R
USW00013886        1258R
USW00013889        1964S
USW00013891        1286S
USW00013893        1509C
USW00013894        1787C
USW00013895        1745C
USW00013896        1490S
USW00013897        1331C
USW00013899        1660S
USW00013904        1992R
USW00013911        1782R
USW00013920        1117R
USW00013927        1685R
USW00013932        1244R
USW00013935        1839R
USW00013939        1607Q
USW00013942        1835C
USW00013957        1745C
USW00013958        1990S
USW00013959        1835S
USW00013960        1747S
USW00013961        1683R
USW00013962        1738C
USW00013963        1506S
USW00013964        1512C
USW00013966        1693S
USW00013967        1453C
USW00013968        1407C
USW00013969        1354S
USW00013970        1980S
USW00013971        1197R
USW00013972        1582R
USW00013973        1860R
USW00013975        1418S
USW00013976        1959S
USW00013977        1596R
USW00013978        1662S
USW00013980        1287S
USW00013981        1173S
USW00013984        1091C
USW00013985        1264C
USW00013986        1244R
USW00013987        1317C
USW00013988        1148S
USW00013989        1170R
USW00013991        1048S
USW00013993        1081R
USW00013994        1180S
USW00013995        1144S
USW00013996        1171S
USW00013997        1060R
USW00014605         397S
USW00014606         403R
USW00014607         236C
USW00014609         301S
USW00014610         332R
USW00014611         378R
USW00014702         641R
USW00014707         278R
USW00014710         622R
USW00014711         848R
USW00014712         859R
USW00014717         523R
USW00014719         437R
USW00014732         815C
USW00014733         445S
USW00014734         868S
USW00014735         603S
USW00014736         588S
USW00014737         778S
USW00014739         536C
USW00014740         766C
USW00014742         492S
USW00014743         391S
USW00014745         638C
USW00014747         454R
USW00014748         597R
USW00014750         503C
USW00014751         875R
USW00014752         723S
USW00014753         512C
USW00014754         332R
USW00014755           0S
USW00014756          79R
USW00014757         764S
USW00014758         578Q
USW00014761         263R
USW00014762         652R
USW00014763         369R
USW00014764         361C
USW00014765         618C
USW00014768         534C
USW00014770         922R
USW00014771         583C
USW00014775         656R
USW00014777         594S
USW00014778         719S
USW00014787         345R
USW00014790         731R
USW00014792         845R
USW00014793         821R
USW00014794         341R
USW00014804         512S
USW00014806        1041S
USW00014813         609R
USW00014814         273S
USW00014815         681C
USW00014817         413S
USW00014819         771C
USW00014820         658C
USW00014821         903C
USW00014822         627S
USW00014824         177R
USW00014825         786C
USW00014826         598S
USW00014827         830C
USW00014828         611S
USW00014829         694R
USW00014833         619S
USW00014835         928S
USW00014836         628C
USW00014837         578C
USW00014838         241S
USW00014839         485S
USW00014840         471C
USW00014841         396C
USW00014842         920C
USW00014845         591S
USW00014846         577S
USW00014847         238C
USW00014848         704S
USW00014850         478S
USW00014852         575C
USW00014853         687R
USW00014855         723R
USW00014858         228R
USW00014859         274R
USW00014860         454S
USW00014880         490R
USW00014891         613S
USW00014892         822R
USW00014894         640R
USW00014895         601S
USW00014897         441C
USW00014898         431C
USW00014910         483S
USW00014912         468R
USW00014913         228S
USW00014914         623C
USW00014916         560S
USW00014918         332S
USW00014919         610C
USW00014920         739S
USW00014921         675R
USW00014922         654S
USW00014923         923S
USW00014924         400C
USW00014925         565C
USW00014926         583C
USW00014927         664R
USW00014929         665S
USW00014931        1015R
USW00014933         894S
USW00014935         990C
USW00014936         816C
USW00014937         841R
USW00014938         861R
USW00014939        1063C
USW00014940         699C
USW00014941         924C
USW00014942        1001S
USW00014943         914S
USW00014944         718C
USW00014945         938R
USW00014946         590S
USW00014950         873S
USW00014971        1019R
USW00014972         806R
USW00014990         753S
USW00014991         644C
USW00014992         706C
USW00014995         569S
USW00021504        2371C
USW00021510        3491R
USW00021514           0Q
USW00021515         734Q
USW00022010        2141S
USW00022016        1985Q
USW00022501        2976R
USW00022514        3393R
USW00022516        3132C
USW00022519        2229R
USW00022521        3122S
USW00022534        2437S
USW00022536        2398C
USW00022551        3395R
USW00023007        1683C
USW00023009        1677C
USW00023023        1821C
USW00023034        1871S
USW00023040        2011S
USW00023041        1802S
USW00023042        1602S
USW00023044        1774S
USW00023047        1368S
USW00023048        1471R
USW00023049        1085R
USW00023050        1214S
USW00023051        1115R
USW00023052         901R
USW00023054         668S
USW00023055        1286R
USW00023058        1898S
USW00023061         579S
USW00023062         955S
USW00023063         611R
USW00023064        1246S
USW00023065        1073C
USW00023066        1164S
USW00023067        1298S
USW00023070        1088S
USW00023072        1536C
USW00023078        1725R
USW00023081        1047S
USW00023090        1231R
USW00023091        2034R
USW00023110        1661S
USW00023129         948S
USW00023130        1483R
USW00023136         358R
USW00023152        1377S
USW00023153        1157S
USW00023154         863C
USW00023155        1632S
USW00023156        1690R
USW00023157        1542S
USW00023158        2293S
USW00023159         419R
USW00023160        2128S
USW00023161        1874S
USW00023162        1194C
USW00023169        1823C
USW00023170        1479S
USW00023174         233C
USW00023176        1166R
USW00023177        1209R
USW00023179        2182S
USW00023182        1598R
USW00023183        2251S
USW00023184        1200S
USW00023185        1144S
USW00023187         836S
USW00023188         252S
USW00023190         204S
USW00023191         499R
USW00023194        1461S
USW00023195        2424R
USW00023199        2372Q
USW00023213         989R
USW00023225         294R
USW00023230         195R
USW00023232        1396R
USW00023233         244S
USW00023234         207S
USW00023237        1475S
USW00023239         218R
USW00023244         433R
USW00023254        1137R
USW00023257        1545R
USW00023258        1583S
USW00023259          70R
USW00023271        1450S
USW00023272         146R
USW00023273         255S
USW00023275        1326R
USW00023277         317R
USW00023285        1088R
USW00023293         918R
USW00023801        1626Q
USW00023802        1611Q
USW00023803        1343Q
USW00023904        1262Q
USW00023906        1905Q
USW00023907        1742Q
USW00023908        1164Q
USW00023909        1034Q
USW00024011         697S
USW00024012         628C
USW00024013         551S
USW00024015         935S
USW00024017         993R
USW00024018         603C
USW00024020         995S
USW00024021         770S
USW00024022         391S
USW00024023         969S
USW00024024         934R
USW00024025         885S
USW00024027         597S
USW00024028        1007S
USW00024029         771C
USW00024030        1024R
USW00024032         953S
USW00024033         765C
USW00024036         505S
USW00024037         820S
USW00024044         893R
USW00024046         781R
USW00024048         919R
USW00024057         597S
USW00024061         778R
USW00024062         897S
USW00024088         717R
USW00024089         841C
USW00024090         824S
USW00024091        1046R
USW00024110         876R
USW00024112         764Q
USW00024119        1211R
USW00024120         891S
USW00024121         969C
USW00024126         928R
USW00024127        1052S
USW00024128        1097C
USW00024130         682S
USW00024131         970C
USW00024132         816R
USW00024133         748S
USW00024135         485S
USW00024137         447S
USW00024138         544R
USW00024139         704S
USW00024141         848S
USW00024143         599C
USW00024144         714C
USW00024145         774R
USW00024148         743Q
USW00024149         869S
USW00024150         651S
USW00024151         904S
USW00024152         338R
USW00024153         716S
USW00024154          53R
USW00024155         814C
USW00024156         839S
USW00024157         598C
USW00024159         816S
USW00024160         846R
USW00024162        1090S
USW00024163        1031R
USW00024164         413R
USW00024172        1320R
USW00024193         970S
USW00024213           3S
USW00024215         835R
USW00024216        1521S
USW00024217          82S
USW00024219         855S
USW00024220         773R
USW00024221         581C
USW00024222          77R
USW00024225        1082R
USW00024227         337C
USW00024229         535S
USW00024230         759S
USW00024231         763R
USW00024232         594S
USW00024233         258C
USW00024234         225R
USW00024235         295R
USW00024237         111R
USW00024241         470R
USW00024242         590S
USW00024243         849S
USW00024255           7S
USW00024257        1518R
USW00024259        1035R
USW00024281         238R
USW00024283          10R
USW00024284           6S
USW00024285          10R
USW00024286           0R
USW00025308          17C
USW00025309          15S
USW00025322           8R
USW00025323          16R
USW00025325           5R
USW00025329           6R
USW00025331           8R
USW00025333           2S
USW00025335          11R
USW00025339           3S
USW00025367          23R
USW00025501           1C
USW00025503           7C
USW00025506           3S
USW00025507       -7777S
USW00025516           1R
USW00025624           0C
USW00025628           0R
USW00025704           0P
USW00025713           0C
USW00026401           4R
USW00026409           8R
USW00026410           4S
USW00026411         118C
USW00026412          50S
USW00026415          36S
USW00026422         120S
USW00026425          34S
USW00026435          90R
USW00026438           7S
USW00026442           4C
USW00026451           2C
USW00026491          19R
USW00026492           0R
USW00026494          21Q
USW00026502          44R
USW00026508          50R
USW00026510          55C
USW00026512          73Q
USW00026514          46S
USW00026523           4S
USW00026528          42S
USW00026529          87S
USW00026533          64C
USW00026615           8C
USW00026616           2C
USW00026617           5C
USW00026618           0R
USW00026642           4R
USW00027406           1P
USW00027502           0S
USW00027503           0P
USW00027515           5P
USW00045715           0P
USW00053119        1651R
USW00053120        1391R
USW00053121         278R
USW00053123        1791R
USW00053131        2103Q
USW00053132        1574Q
USW00053136        1542Q
USW00053138         686Q
USW00053139        2239Q
USW00053144        1747Q
USW00053149         849Q
USW00053150          97Q
USW00053151        1423Q
USW00053152          10Q
USW00053154        2230Q
USW00053155         935Q
USW00053802         965R
USW00053819        1470R
USW00053820        1761R
USW00053838        1219R
USW00053841        1094R
USW00053842         887R
USW00053843        1808Q
USW00053844         989R
USW00053847        1946Q
USW00053848        1992Q
USW00053850        1424R
USW00053852        1447R
USW00053853        1597R
USW00053854        1654R
USW00053855        1018R
USW00053858        1819R
USW00053859         817R
USW00053860        1829R
USW00053862        1984R
USW00053863        1378R
USW00053864        1514R
USW00053865        1795R
USW00053866         936R
USW00053867        1660R
USW00053868        1297R
USW00053869        1419R
USW00053870        1279R
USW00053871        1357R
USW00053872        1301R
USW00053873        1388R
USW00053874        1433R
USW00053877         728Q
USW00053878         714Q
USW00053879        1024Q
USW00053901        1187R
USW00053902        1892R
USW00053903        1884R
USW00053904        1150R
USW00053905        1663R
USW00053907        1754R
USW00053908        1419R
USW00053909        1707R
USW00053910        1951R
